Data set for Chi-square test

Description of data
--------------------------------------------------------------
This data contains information of Person who do smoke, It is a categorical data:


ids	Gender	Smoking
37458	Male	NonSmoker
38186	Female	NonSmoker
38365	Female	NonSmoker
39281	Female	NonSmoker
39550	Female	NonSmoker
42681	Female	PastSmoker
42914	Male	NonSmoker
43402	Male	NonSmoker
43610	Male	PastSmoker
44736	Female	NonSmoker
44661	Male	NonSmoker
45104	Female	NonSmoker
45303	Female	NonSmoker
45377	Male	NonSmoker
45559	Female	PastSmoker
45550	Male	NonSmoker
45901	Female	NonSmoker
46109	Female	NonSmoker
46808	Female	CurrentSmoker
46968	Male	NonSmoker
48216	Female	CurrentSmoker
49381	Male	CurrentSmoker
49838	Female	NonSmoker
20248		CurrentSmoker
24267	Male	NonSmoker
25577	Male	CurrentSmoker
25893	Female	NonSmoker
26481	Female	
26998	Female	NonSmoker
27765	Male	NonSmoker
30426	Female	NonSmoker
31807	Female	NonSmoker
32219	Female	NonSmoker
32187	Female	NonSmoker
32776	Male	NonSmoker
34019	Female	CurrentSmoker
34705	Female	NonSmoker
34595	Male	NonSmoker
36109	Male	NonSmoker
36524	Female	CurrentSmoker
38091	Female	CurrentSmoker
40408	Female	NonSmoker
40803	Male	NonSmoker
41397	Male	NonSmoker
43142	Female	NonSmoker
44929	Female	NonSmoker
44752	Male	NonSmoker
45420	Female	NonSmoker
48309	Male	NonSmoker
48509	Female	NonSmoker
48541	Female	NonSmoker
48591	Female	NonSmoker
48942	Male	NonSmoker
49342	Male	NonSmoker
20680	Male	NonSmoker
22425	Male	
31793	Male	CurrentSmoker
32415		NonSmoker
34176	Female	NonSmoker
41411	Male	NonSmoker
42540	Male	NonSmoker
44533	Female	NonSmoker
45711	Female	NonSmoker
43692	Male	NonSmoker
21606	Male	NonSmoker
22186	Female	PastSmoker
28642	Male	NonSmoker
44795	Male	
47027	Male	PastSmoker
22416	Female	NonSmoker
20255	Male	NonSmoker
20826	Female	NonSmoker
22494	Female	NonSmoker
27688	Male	PastSmoker
29363	Male	
34623	Male	NonSmoker
35350	Male	NonSmoker
36655	Female	NonSmoker
46265	Female	NonSmoker
22617	Female	CurrentSmoker
25034	Male	NonSmoker
25221	Female	NonSmoker
26961	Male	NonSmoker
27435	Male	PastSmoker
28084	Female	NonSmoker
28460	Male	NonSmoker
28570	Female	CurrentSmoker
29313	Female	PastSmoker
31189	Female	NonSmoker
31576	Male	NonSmoker
32437	Male	NonSmoker
32439	Male	NonSmoker
33117	Male	NonSmoker
33377	Male	NonSmoker
33454	Male	CurrentSmoker
36104	Female	NonSmoker
36406	Male	NonSmoker
36714	Female	
36693	Male	CurrentSmoker
37615	Male	
38362	Female	NonSmoker
38549	Female	NonSmoker
41157	Male	NonSmoker
41227	Male	NonSmoker
41870	Male	NonSmoker
42217		NonSmoker
42783	Female	CurrentSmoker
42830	Female	NonSmoker
42791	Male	NonSmoker
43973	Male	CurrentSmoker
47506	Male	NonSmoker
49879	Female	NonSmoker
20402	Female	NonSmoker
20626	Male	CurrentSmoker
20903	Female	NonSmoker
22742	Male	NonSmoker
23731	Female	NonSmoker
25714		NonSmoker
28053	Male	NonSmoker
28668	Female	NonSmoker
29238	Female	NonSmoker
30418		NonSmoker
30720	Female	NonSmoker
35687	Male	NonSmoker
36368	Female	NonSmoker
36336	Male	NonSmoker
37105	Male	CurrentSmoker
37421	Female	NonSmoker
37301	Male	CurrentSmoker
38418	Female	NonSmoker
38724	Male	NonSmoker
41156	Male	NonSmoker
41503	Female	NonSmoker
43678		NonSmoker
43971	Male	NonSmoker
45902	Female	CurrentSmoker
46663	Male	PastSmoker
47339	Male	NonSmoker
47912	Female	NonSmoker
48764	Male	CurrentSmoker
49386	Male	NonSmoker
27037	Female	CurrentSmoker
29009	Male	
32224	Female	NonSmoker
32712	Female	CurrentSmoker
37553	Female	NonSmoker
39290	Male	
40193	Female	CurrentSmoker
45784	Male	CurrentSmoker
46911	Male	NonSmoker
47007	Male	NonSmoker
48816	Male	CurrentSmoker
49445	Female	
22417	Male	NonSmoker
26199	Male	NonSmoker
29464	Male	NonSmoker
29529	Male	NonSmoker
29757	Female	NonSmoker
40601	Female	NonSmoker
41147	Female	NonSmoker
47835	Male	NonSmoker
26262	Female	NonSmoker
28689	Female	
39867	Female	CurrentSmoker
22054	Female	NonSmoker
33017	Female	NonSmoker
29103	Female	CurrentSmoker
20758	Female	NonSmoker
21345	Female	NonSmoker
21389	Male	NonSmoker
22961	Female	NonSmoker
23155	Male	NonSmoker
24480	Female	NonSmoker
26776	Male	PastSmoker
27203	Male	NonSmoker
27365	Male	PastSmoker
27958	Female	NonSmoker
28874	Male	NonSmoker
29507	Male	NonSmoker
30904	Male	PastSmoker
31160	Male	PastSmoker
32069	Female	NonSmoker
32440	Male	NonSmoker
32657	Female	NonSmoker
33204	Female	NonSmoker
34212	Male	PastSmoker
36657	Male	CurrentSmoker
37328	Female	CurrentSmoker
37333	Male	NonSmoker
37881	Male	NonSmoker
38631	Female	NonSmoker
39033	Male	NonSmoker
39816	Male	
40662	Female	CurrentSmoker
40916	Male	NonSmoker
42216	Female	PastSmoker
42474	Male	NonSmoker
43255	Female	PastSmoker
48033	Male	NonSmoker
20243	Male	PastSmoker
22029	Male	NonSmoker
22147	Male	CurrentSmoker
22938	Female	NonSmoker
23514	Male	CurrentSmoker
25866	Male	NonSmoker
26223	Male	NonSmoker
26843	Male	NonSmoker
27177	Male	NonSmoker
27638	Female	NonSmoker
28044	Female	NonSmoker
49806	Male	
29967	Female	NonSmoker
30337	Male	NonSmoker
33162	Female	CurrentSmoker
34690	Male	CurrentSmoker
36009	Female	NonSmoker
38020	Male	PastSmoker
39181	Female	CurrentSmoker
40229	Female	NonSmoker
41425	Male	PastSmoker
44698	Male	NonSmoker
45041	Male	NonSmoker
45095	Male	NonSmoker
45788	Male	NonSmoker
46912	Female	CurrentSmoker
47122	Male	NonSmoker
47676	Female	PastSmoker
48702	Female	CurrentSmoker
48976	Female	CurrentSmoker
49137	Female	CurrentSmoker
49165		CurrentSmoker
49931	Female	NonSmoker
23871	Female	NonSmoker
26771	Male	PastSmoker
30329	Female	CurrentSmoker
31549	Female	NonSmoker
35681	Male	NonSmoker
36100	Female	NonSmoker
36863	Male	NonSmoker
49821	Male	PastSmoker
41406	Male	NonSmoker
46722	Male	PastSmoker
48295	Male	NonSmoker
21256	Male	NonSmoker
24904	Male	NonSmoker
25251	Female	NonSmoker
26034	Male	NonSmoker
30424	Female	NonSmoker
30968	Male	NonSmoker
31419	Female	NonSmoker
35048	Male	PastSmoker
36681	Female	CurrentSmoker
38928	Male	PastSmoker
42520	Female	NonSmoker
46857	Female	NonSmoker
22652	Male	NonSmoker
30070	Female	
37310	Male	PastSmoker
49854	Female	
32786	Male	NonSmoker
33358	Male	NonSmoker
36691	Female	NonSmoker
30268	Female	PastSmoker
33692	Female	NonSmoker
31434	Female	CurrentSmoker
45762	Male	CurrentSmoker
21421	Male	NonSmoker
21610	Female	NonSmoker
22240	Male	NonSmoker
23659	Female	NonSmoker
29470	Male	NonSmoker
31575	Female	NonSmoker
32404	Female	NonSmoker
32929	Female	NonSmoker
33022	Female	NonSmoker
33348	Male	NonSmoker
34469	Female	
35684	Female	NonSmoker
36404	Female	NonSmoker
38644	Female	CurrentSmoker
40900	Female	NonSmoker
41762	Female	NonSmoker
43596	Female	NonSmoker
44640	Male	NonSmoker
47709	Female	PastSmoker
48238	Female	CurrentSmoker
48112	Male	NonSmoker
22167	Female	NonSmoker
23717	Male	NonSmoker
25875	Male	NonSmoker
26367	Male	NonSmoker
26510	Female	NonSmoker
27209	Male	NonSmoker
29115	Female	NonSmoker
31078	Male	NonSmoker
34362	Male	PastSmoker
34581	Female	NonSmoker
34591	Male	
35886	Female	NonSmoker
37713	Female	NonSmoker
39415	Male	NonSmoker
40313	Male	NonSmoker
41168	Female	NonSmoker
41165	Male	NonSmoker
42826	Female	PastSmoker
43676	Male	NonSmoker
44968	Female	NonSmoker
45928	Male	CurrentSmoker
46439	Male	NonSmoker
48958	Male	CurrentSmoker
49572	Male	CurrentSmoker
21254	Female	NonSmoker
23037	Male	CurrentSmoker
23340	Male	NonSmoker
24362	Male	NonSmoker
28328	Female	NonSmoker
30139	Female	NonSmoker
32380	Female	CurrentSmoker
35269	Female	NonSmoker
38872	Male	CurrentSmoker
39413	Male	NonSmoker
45256	Male	CurrentSmoker
48529	Male	NonSmoker
36563	Male	NonSmoker
34021	Male	NonSmoker
40697	Female	NonSmoker
34272	Female	NonSmoker
33628	Male	CurrentSmoker
39298	Male	PastSmoker
